,0
0,와 중학생이 벌써 돈 복사기로 돈 복사중이라고 자랑하네 ㅋㅋ
1,알서포트 사놔야겠너
2,플스5 듀얼센스 놀라운 근황 ㄷㄷ
3,여기 갤러 한명 명예훼손으로 고소 했는데 좀 봐줘..
4,신한i 쓰는 사람있음??
5,주린이 -40 죽고싶다..
6,3단계되면 3월꼴남?
7,자회사 상장은 모회사에게 무조건적인 호재?
8,환율 오르기전에 빨리 삼전사라
9,조누형 형이 추천 해준 주식무작정따라 책에서
10,삼전 이 가격까지는 떨어진다
11,주식이랑 코인이랑 다른건가요 ??
12,삼전보다 재무표도 안좋으면서 2~3배오른 종목 많은데
13,흥냐흥냐... 어쩔 수 없지 사
14,엑바의 붐이 오고있다.jpg
15,아 오랜만에 차트봤는데 동전주 탈출
16,나도 댄공 사고싶었지 씨ㅡ발 ㅋㅋㅋㅌㅌ 2.3일때 봤는데
17,와 시발 나 군제대하고 2017년만해도 25000원이엇네 
18,주식으로 돈번 사람들이 자만 안했으면 좋겠다
19,삼전보다 하이닉스가 더 불안하냐?
20,아 시바 주식을 너무 늦게 알았다 ㅇ
21,삼전폭락한대서 5만원으로 떨어지면 주울라고했는데
22,주식 아무거도 모르고 지인말 듣고 처음시작하고 바로 3.7억 정도 질렀
23,조누형 포모 떡밥 어떻게 생각해?
24,[대한항공] 유상증자 대응법에 관하여.TXT
25,제발 삼전 폭락해라
26,듣자하니 주식에 조예가 깊으시던데.. 하시는일이 ㅡ
27,정치하는 사람들
28,한동안 주갤끊고 폐관수련하다왔다.
29,총선 직전 vs 현재 여론조사 변화...jpg               
30,내가 24살때 교육 받을때 
31,벤저민 그레이엄 개새끼 재무제표로 기만하네
32,주린이 주식 공부 아다떼고 재무제표 공부하는데
33,내가 1시까지 낮잠 자고 싶은 이유
34,여기처럼 풋내나는 갤은 처음
35,넵튠 손절각 몇에 봐야할까..?
36,코로나 천명 찍었네
37,포모 떡밥 ㄷㄷ
38,주식 종목 가나다 순으로
39,창밖을보아 창밖을보라
40,디바이스 이엔지 얼른타셈
41,삼전폭락한다는새끼들은
42,폭락한다는 애들 다 인버스충이냐
43,코로나 변수는 또 있지 ㅋㅋ
44,11월 26일 시드 4900으로시작한 주린이
45,ㅋㅋㅋㅋㅋㅋㅋ
46,그리고 이제 폭락장은 올수가없다
47,증시 약간 한계치에 온듯한 느낌인건 사실임
48,해장 신라면 ㅋ
49,주가 조지는 건 당연한거 아니냐 ?
50,코로나 1000명넘은거 증시에 좆도 영향없는거맞음.
51,주린이 질문좀
52,"삼성·LG 기술자 모셔간 中 기업들, 단물 빨아먹고 내쳤다"
53,해장국 못사먹고 라면 끓이는중이다
54,법 관련 질문
55,월요일 대폭락시장온다 현금으로 매수준비해라
56,난 아무리그래도 삼전은 사기싫던데
57,갤러나 주식러들 몇백만원 이상 딴 애들이 대부분이냐?
58,대출도 하나의 레버리지야 개새꺄ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
59,코로나 천명 찍어두 코스피 영향 없어요 ㅋ
60,아프리카녀실시간
61,저능아는 주식하지말고ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
62,주식쫄보 10만원 잃고 10kg 다이어트 성공
63,삼전 내린다 폭망한다에 속아서 못산놈들이  불쌍하지
